Last Week,Delivery,This Week,CPW
33,0,26,
26,0,26,
29,0,19,
15,0,9,
165,0,120,
112,0,100,
29,30,21,
48,0,30,
11,10,14,
11,10,14,
3,1,2.5,
3,5,4,
2,4,4,
39,0,20,
58,0,54,
42,0,11,
37,0,14,
10,0,9,
6,2,7,
2,7,7,
14,12,12,
9,6,8,
37,0,37,
14,8,10,
5,5,6,
3,0,3,
3.5,5,6,
82,0,77,
18,24,25,
2,24,12,
41,0,31,
4,24,18,
8,12,8,
6,24,22,
8,24,25,
6,24,20,
13,0,5,
2,12,4,
18,24,28,
25,0,15,
