Last Week,Delivery,This Week,CPW
25,0,13,
37,0,21,
0,24,19,
19,0,7,
70,50,84,
54,0,40,
75,60,55,
28,30,32,
14,15,20,
10,10,10,
2.1,1,1,
7,2,5.5,
3.3,2,3,
48,0,42,
36,0,33,
95,0,70,
32,0,23,
7,0,4,
5,0,2,
7,0,4,
14,12,15,
11,6,8,
34,0,23,
4,24,14,
3.6,1,1,
3,2,2.5,
4,2,2,
30,0,21,
43,0,19,
16,24,18,
27,0,13,
14,24,22,
12,24,21,
15,24,27,
30,0,19,
27,24,37,
15,12,15,
25,12,20,
42,24,44,
22,24,32,
