Last Week,Delivery,This Week,CPW
32,24,39,
16,0,5,
32,24,44,
21,24,35,
40,50,29,
71,0,67,
25,60,33,
58,0,37,
4,10,4,
17,0,7,
1,3,2,
3,2,1,
3,0,0,
45,0,35,
34,0,23,
38,0,27,
37,0,28,
4,0,2,
2,2,2,
3,0,2,
9,12,7,
9,6,6,
17,0,6,
5,16,13,
4,3,3,
1.5,2,1.5,
3,3,2,
36,0,29,
16,48,30,
30,24,26,
19,40,39,
19,24,23,
18,12,6,
22,24,31,
25,0,11,
10,24,14,
6,24,14,
15,24,18,
32,24,28,
30,24,34,
