Last Week,Delivery,This Week,CPW
29,0,25,
14,0,10,
26,0,18,
27,0,22,
63,0,11,
40,0,23,
50,30,44,
25,0,7,
13,8,13,
15,18,25,
2,1,0.5,
4,4,4.5,
1,4,3,
48,0,31,
8,48,42,
7,48,50,
28,0,16,
7,8,12,
3,12,13,
7,0,3,
19,0,13,
19,0,10,
12,0,10,
17,0,8,
6.5,1,4,
2.5,2,2,
3.5,4,4,
71,0,62,
16,24,23,
6,24,16,
31,0,21,
22,0,12,
10,12,10,
6,24,22,
19,0,12,
13,0,3,
23,0,15,
20,0,10,
10,24,22,
31,0,21,
