Last Week,Delivery,This Week,CPW
36,0,30,
4,24,22,
32,0,22,
21,0,17,
120,100,150,
2,90,77,
39,30,5,
42,0,19,
10,10,10,
13,2,6,
2,1,0.5,
5,2,3,
3,0,1,
99,0,99,
33,48,68,
48,0,46,
48,0,47,
4,0,1,
6,0,3,
6,0,4,
11,18,18,
0,6,0,
38,0,35,
8,0,0,
3.5,4,3.5,
2,1,1.5,
2,3,1.5,
32,0,29,
23,48,34,
37,24,31,
17,40,35,
21,24,23,
13,24,11,
15,36,32,
36,0,20,
13,48,39,
16,24,20,
19,24,21,
17,48,35,
33,24,35,
