Last Week,Delivery,This Week,CPW
25,0,17,
31,0,26,
12,24,26,
21,0,16,
52,50,36,
40,0,32,
43,60,60,
26,30,30,
18,0,7,
23,0,16,
2.5,1,2,
5,6,7,
2,2,2,
23,48,57,
63,0,52,
60,0,49,
82,0,71,
3,6,8,
5,1,5,
6,0,5,
14,0,8,
9,6,11,
22,0,20,
7,0,2,
6.5,5,7.5,
2,2,1.2,
2.5,3,1.5,
30,30,58,
3,48,27,
27,0,6,
18,40,43,
15,24,24,
5,24,11,
12,24,23,
16,0,5,
8,24,16,
19,0,7,
12,12,10,
7,24,9,
3,24,11,
