Last Week,Delivery,This Week,CPW
35,0,27,
38,0,33,
27,0,19,
39,0,35,
60,50,75,
60,60,94,
79,0,40,
51,0,32,
17,5,14,
19,3,16,
3,1,2,
2.5,4,3,
3,0,1,
16,48,58,
61,0,52,
26,48,46,
22,48,68,
9,2,9,
9,0,9,
6,2,7,
11,6,10,
7,6,8,
51,0,47,
3,8,0,
6.5,2,5,
5,0,2,
0,7,3,
57,0,49,
3,24,10,
18,0,4,
11,40,41,
22,0,12,
8,12,8,
6,24,22,
25,0,18,
24,0,14,
13,0,5,
8,12,10,
24,0,10,
19,0,9,
