Last Week,Delivery,This Week,CPW
17,0,15,
25,0,18,
30,0,29,
20,0,17,
50,100,100,
20,60,70,
41,60,58,
34,30,37,
15,10,17,
16,10,16,
1,4,3,
4.5,6,6.5,
2,3,3,
29,48,32,
16,48,64,
65,0,59,
30,48,40,
11,0,10,
12,0,10,
10,0,6,
9,18,14,
12,12,13,
62,0,52,
24,0,12,
5,6,7,
2,2,2,
2,3,1,
30,60,67,
20,24,27,
22,0,8,
31,0,21,
6,12,8,
9,12,8,
22,0,14,
15,0,8,
20,0,10,
15,0,7,
4,12,6,
28,0,14,
15,0,5,
