Last Week,Delivery,This Week,CPW
35,0,25,
0,24,19,
20,0,12,
20,0,11,
23,100,66,
46,0,44,
0,120,68,
16,60,55,
15,0,7,
13,12,16,
0,4,2.5,
3.2,4,3.6,
3,0,0,
105,0,98,
39,0,20,
54,0,43,
47,0,40,
4,0,1,
2,0,0,
4,0,3,
12,12,14,
5,12,7,
52,0,48,
14,16,19,
3.1,5,5,
1.5,2,2,
3,3,3,
46,0,34,
24,24,19,
38,24,38,
20,40,43,
10,24,17,
18,12,10,
30,0,16,
16,24,25,
26,24,33,
14,12,12,
19,12,14,
17,24,17,
22,24,29,
